Customer ID,Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
2640,22,Male,T-shirt,20.90641276,New Hampshire,XL,Baby blue,Summer,NA,Standard,No,4,Credit Card,Annually
2915,,Male,Sunglasses,25.33857425,Pennsylvania,M,Lavender,Summer,2,Standard,No,14,Credit Card,Quarterly
3246,50,Female,Dress,27.9309293,Kansas,M,Periwinkle,Summer,5,Standard,No,4,Credit Card,Annually
3890,,Male,T-shirt,36.32916911,Alaska,S,Periwinkle,Summer,NA,Standard,No,2,Credit Card,Annually
2818,43,Male,Handbag,24.84448754,South Carolina,XL,Lemon yellow,Summer,NA,Next Day Air,No,0,Credit Card,
3840,29,Male,Hoodie,37.02695192,Connecticut,M,Muted mustard yellow,Winter,NA,Standard,No,1,Credit Card,Quarterly
3357,34,Male,Hoodie,26.05136897,,M,Mauve,Winter,5,Standard,No,3,Credit Card,Quarterly
3736,47,Male,T-shirt,35.63182471,Massachusetts,L,Fuchsia,Spring,4,Standard,No,6,Credit Card,Annually
1709,36,Female,Scarf,44.03244411,Florida,L,Muted mustard yellow,Winter,NA,Standard,No,2,Credit Card,Quarterly
1735,24,Non-binary,Hoodie,31.39146688,,L,Muted mustard yellow,Winter,NA,Standard,No,0,Credit Card,
3846,,Male,Sweater,34.14560502,California,M,Brown,Winter,5,Standard,No,7,Credit Card,Bi-Weekly
1744,40,Female,Running Shoes,39.67097198,Missouri,XL,Fuchsia,Spring,NA,Standard,No,1,Credit Card,Monthly
2740,41,Female,T-shirt,15.42466907,Alaska,XL,Mauve,Fall,NA,Express,No,0,Credit Card,
2892,21,Male,Handbag,36.14089535,Ohio,XL,Baby blue,Summer,NA,Standard,No,4,Credit Card,Monthly
3093,59,Male,Leggings,29.65332933,Utah,L,Ruby Red,Winter,5,Express,No,2,Credit Card,Annually
2297,32,Female,Running Shoes,29.06375643,,M,Mauve,Summer,NA,Standard,No,9,Credit Card,Monthly
3755,31,Male,Sweater,31.6550745,Nebraska,M,Ruby Red,Winter,4,Standard,No,3,Credit Card,Bi-Weekly
2806,41,Male,Belt,32.22653293,Nevada,S,Burnt orange,Fall,NA,Standard,No,3,Credit Card,Quarterly
2498,42,Female,Dress,17.09816095,Colorado,M,Aubergine,Fall,NA,Standard,No,5,Credit Card,Monthly
3436,23,Male,Handbag,24.41007786,Montana,M,White,Summer,NA,Standard,No,20,Credit Card,Quarterly
2005,30,Male,Sunglasses,32.12102628,Georgia,L,Baby blue,Summer,2,Standard,No,7,Credit Card,Annually
2899,44,Male,Sunglasses,31.41936439,New Jersey,XL,Mauve,Spring,NA,Standard,No,1,Credit Card,Monthly
2417,38,Female,T-shirt,32.47211431,Nebraska,S,Lavender,Summer,4,Standard,No,3,Credit Card,Annually
3319,52,Male,Backpack,21.54486757,North Dakota,M,Brick red,Winter,NA,Standard,No,13,Credit Card,Quarterly
3203,21,Non-binary,Shorts,22.84273922,Wisconsin,L,Lemon yellow,Summer,2,Standard,No,15,Credit Card,Annually
3522,39,Female,Sweater,31.70655989,Maryland,M,Brown,Winter,4,Standard,No,0,Credit Card,
3141,23,Male,Gloves,26.85335798,Alaska,XL,Mauve,Winter,5,Standard,No,11,Credit Card,Monthly
3544,28,Female,T-shirt,20.77754774,Colorado,M,Ruby Red,Spring,NA,Standard,No,2,Credit Card,Weekly
3681,36,Female,Pajamas,34.20090411,Iowa,S,Brown,Winter,NA,Standard,No,3,Credit Card,Monthly
3819,30,Male,Jacket,32.64403489,Oregon,XL,Ruby Red,Fall,NA,Standard,No,5,Credit Card,Monthly
3619,,Male,Scarf,21.82797989,Nevada,M,Ruby Red,Fall,NA,Standard,No,2,Credit Card,Quarterly
1797,30,Male,Sweater,23.489253,South Carolina,S,Ruby Red,Winter,NA,Express,No,16,Credit Card,Quarterly
1822,38,Male,Dress,33.62140289,,M,Pale peach,Summer,NA,Standard,No,1,Credit Card,Monthly
3640,34,Female,Handbag,41.22445272,Illinois,M,Fuchsia,Summer,NA,Standard,No,3,Credit Card,Quarterly
2218,38,Male,Scarf,32.03928349,Indiana,XL,Muted mustard yellow,Winter,NA,Next Day Air,No,0,Credit Card,
2119,33,Male,Hoodie,25.46994434,Georgia,M,Black,Winter,NA,Standard,No,2,Credit Card,Annually
2647,37,Male,T-shirt,23.81541805,New Mexico,S,Periwinkle,Summer,NA,Next Day Air,No,2,Credit Card,Monthly
3677,20,Female,Sunglasses,20.59489899,Wisconsin,S,Baby blue,Spring,NA,Standard,No,3,Credit Card,Annually
3159,,Male,Jacket,21.0906501,Mississippi,M,Aubergine,Winter,4,Standard,No,16,Credit Card,Monthly
2854,26,Male,Handbag,33.60184058,,M,Lavender,Summer,2,Express,No,4,Credit Card,Annually
2725,38,Female,Dress,43.45381036,Missouri,M,Lavender,Summer,4,Standard,No,5,Credit Card,Monthly
2001,53,Female,Dress,35.59855689,California,M,Turquoise,Summer,4,Standard,No,6,Credit Card,Annually
2774,38,Male,Hoodie,35.46782769,Arizona,S,Brick red,Winter,NA,Standard,No,11,Credit Card,Monthly
2741,35,Male,Leggings,19.8593173,Pennsylvania,M,Burnt orange,Fall,NA,Standard,No,17,Credit Card,Annually
2753,39,Female,Boots,27.28681408,,S,Aubergine,Winter,NA,Standard,No,20,Credit Card,Quarterly
3335,29,Male,Gloves,33.56400807,California,M,Brown,Fall,2,Standard,No,1,Credit Card,Quarterly
2479,37,Female,Scarf,27.78139318,Vermont,S,Terra cotta,Winter,NA,Standard,No,0,Credit Card,
3623,18,Female,Jacket,23.75359896,,M,Muted mustard yellow,Fall,5,Next Day Air,No,0,Credit Card,
1995,37,Female,Sunglasses,23.24250702,Nevada,M,White,Spring,NA,Standard,No,4,Credit Card,Quarterly
2466,48,Female,Backpack,32.75508024,Texas,M,Brown,Fall,NA,Standard,No,4,Credit Card,Quarterly
3802,37,Female,Shorts,28.86497988,Kentucky,M,Fuchsia,Summer,NA,Next Day Air,No,1,Credit Card,Monthly
3490,49,Male,Shorts,33.38595608,Idaho,L,Fuchsia,Spring,NA,Standard,No,12,Credit Card,Monthly
3541,41,Female,Shorts,28.40140401,Nevada,M,Lemon yellow,Summer,NA,Standard,No,11,Credit Card,Annually
2452,20,Male,Dress,29.30841808,Oklahoma,M,Lavender,Spring,NA,Standard,No,0,Credit Card,
3808,20,Female,Sweater,31.54293034,,L,Ruby Red,Winter,NA,Standard,No,5,Credit Card,Quarterly
3803,19,Male,Hoodie,36.54035383,Illinois,S,Muted mustard yellow,Winter,5,Standard,No,3,Credit Card,Annually
3135,37,Female,Pajamas,22.94439977,Kentucky,L,Brick red,Winter,NA,Standard,No,2,Credit Card,Annually
3896,30,Female,T-shirt,32.31053883,Virginia,L,Lavender,Spring,1,Standard,No,12,Credit Card,Bi-Weekly
3240,31,Male,Sweater,28.34066015,Colorado,M,Brown,Winter,NA,Standard,No,1,Credit Card,Bi-Weekly
2237,46,Male,Scarf,25.62472994,Louisiana,M,Brown,Fall,NA,Standard,No,1,Credit Card,Quarterly
3416,29,Male,Socks,30.2469763,New York,M,Brick red,Fall,2,Standard,No,0,Credit Card,
2336,23,Female,Sunglasses,39.06815636,Idaho,M,Lemon yellow,Summer,5,Express,No,9,Credit Card,Monthly
3782,29,Female,Boots,32.50731225,Tennessee,M,Brown,Fall,NA,Next Day Air,No,12,Credit Card,Quarterly
3798,45,Non-binary,Shorts,33.32925704,California,M,Black,Fall,4,Standard,No,3,Credit Card,Monthly
2588,50,Male,Dress,34.52657083,Connecticut,M,Lavender,Spring,4,Standard,No,5,Credit Card,Quarterly
2606,37,Male,T-shirt,28.36743778,Nevada,M,Muted mustard yellow,Summer,2,Express,No,7,Credit Card,Monthly
3667,44,Female,Socks,21.28007849,Alabama,M,Burnt orange,Winter,NA,Standard,No,2,Credit Card,Weekly
3076,37,Female,Sweater,23.67100817,Utah,XL,Muted mustard yellow,Fall,4,Standard,No,5,Credit Card,Weekly
2980,49,Male,Sunglasses,30.63912078,Louisiana,L,Pale peach,Spring,4,Next Day Air,No,2,Credit Card,Monthly
1789,27,Female,Gloves,28.31917288,Illinois,L,Brick red,Winter,NA,Standard,No,0,Credit Card,
2353,45,Female,Handbag,22.56183588,Nebraska,M,White,Summer,NA,Standard,No,20,Credit Card,Quarterly
2458,41,Female,Shorts,35.16698953,Delaware,M,Periwinkle,Summer,NA,Standard,No,1,Credit Card,Monthly
2324,33,Female,Running Shoes,40.04452374,Maryland,L,Periwinkle,Summer,5,Standard,No,6,Credit Card,Quarterly
3862,27,Male,Pajamas,33.22003697,Wyoming,M,Terra cotta,Winter,NA,Standard,No,0,Credit Card,
3233,48,Male,Sunglasses,13.02575067,Massachusetts,M,White,Spring,NA,Standard,No,20,Credit Card,Monthly
2127,,Male,Backpack,28.16854462,Alabama,XL,Mauve,Winter,2,Standard,No,1,Credit Card,Quarterly
3406,24,Female,Dress,27.96896145,Washington,M,Fuchsia,Spring,NA,Standard,No,0,Credit Card,
2159,19,Female,Handbag,29.22176798,Massachusetts,XL,Fuchsia,Summer,2,Standard,No,16,Credit Card,Monthly
2507,,Female,Hoodie,29.92755849,New York,XL,Mauve,Fall,NA,Standard,No,2,Credit Card,Quarterly
2478,22,Female,Sunglasses,22.95608304,California,L,Muted mustard yellow,Spring,4,Standard,No,0,Credit Card,
2203,50,Male,Sunglasses,28.37681943,Alabama,M,Lemon yellow,Summer,NA,Standard,No,1,Credit Card,Quarterly
2326,,Female,Dress,40.62816302,New York,M,Baby blue,Spring,4,Standard,No,1,Credit Card,Annually
2034,29,Male,Sunglasses,26.80271406,Illinois,L,Baby blue,Summer,5,Standard,No,0,Credit Card,
3536,19,Male,Gloves,19.66159607,Mississippi,M,Terra cotta,Winter,NA,Standard,No,0,Credit Card,
1844,35,Female,Boots,35.20403498,Kentucky,M,Muted mustard yellow,Winter,NA,Standard,No,6,Credit Card,Quarterly
1766,18,Male,T-shirt,30.08295794,New Mexico,M,White,Summer,NA,Standard,No,20,Credit Card,Quarterly
2196,24,Female,Leggings,31.63510177,New York,M,White,Winter,5,Express,No,4,Credit Card,Annually
2302,58,Female,Boots,37.34013683,Maine,L,Brick red,Winter,4,Standard,No,10,Credit Card,Annually
2530,52,Male,Shorts,28.08169193,Tennessee,M,Muted mustard yellow,Summer,NA,Standard,No,3,Credit Card,Monthly
1831,,Female,Socks,32.73305585,Kansas,M,Terra cotta,Winter,NA,Standard,No,12,Credit Card,Monthly
3372,35,Female,T-shirt,33.97224456,Colorado,S,Fuchsia,Spring,NA,Standard,No,19,Credit Card,Monthly
3276,49,Female,Sunglasses,34.12242082,Alabama,XL,Pale peach,Summer,NA,Standard,No,3,Credit Card,Quarterly
1896,41,Female,Shorts,22.40435052,Washington,L,Baby blue,Summer,NA,Standard,No,2,Credit Card,Monthly
2689,45,Female,T-shirt,35.61670874,West Virginia,XL,Lemon yellow,Summer,4,Next Day Air,No,2,Credit Card,Quarterly
2377,36,Female,Handbag,30.16421835,Tennessee,XL,Periwinkle,Summer,NA,Standard,No,8,Credit Card,Annually
2122,49,Female,T-shirt,21.94539389,Alaska,M,Lavender,Summer,NA,Standard,No,5,Credit Card,Quarterly
1759,37,Female,Dress,24.02491266,Pennsylvania,M,Fuchsia,Summer,NA,Standard,No,12,Credit Card,Quarterly
2966,27,Female,Running Shoes,23.55280924,Delaware,M,Periwinkle,Summer,NA,Standard,No,0,Credit Card,
3109,48,Female,Pajamas,35.3460696,Oregon,M,Muted mustard yellow,Winter,5,Standard,No,13,Credit Card,Annually
2215,20,Male,Handbag,23.06266666,Idaho,L,Black,Summer,5,Next Day Air,No,1,Credit Card,Annually
2621,26,Male,Jacket,33.37733546,Ohio,S,Terra cotta,Winter,NA,Standard,No,8,Credit Card,Quarterly
3350,39,Male,Gloves,37.46544615,Georgia,M,Mauve,Winter,NA,Standard,No,1,Credit Card,Monthly
3777,31,Female,Scarf,26.89477666,Alaska,L,Black,Winter,NA,Express,No,2,Credit Card,Quarterly
2291,28,Female,Sunglasses,40.29033591,Kansas,L,Burnt orange,Fall,NA,Next Day Air,No,0,Credit Card,
2726,20,Female,Shorts,32.32668499,Mississippi,S,Lemon yellow,Summer,NA,Next Day Air,No,3,Credit Card,Monthly
2622,44,Female,Running Shoes,27.64099703,Maine,M,Periwinkle,Summer,5,Standard,No,1,Credit Card,Quarterly
2431,,Female,Leggings,33.80440187,North Dakota,XL,Brown,Fall,2,Standard,No,5,Credit Card,Quarterly
3788,32,Male,Socks,38.64967662,New York,M,Muted mustard yellow,Fall,NA,Standard,No,0,Credit Card,
1915,25,Male,Shorts,19.92760346,Alaska,L,Pale peach,Summer,4,Standard,No,4,Credit Card,Quarterly
1794,22,Female,Running Shoes,27.0512467,Iowa,S,Turquoise,Spring,NA,Standard,No,1,Credit Card,Quarterly
3098,60,Male,Jacket,29.93570303,Delaware,M,Mauve,Winter,NA,Standard,No,0,Credit Card,
1963,38,Female,Shorts,31.84031498,,M,Lavender,Fall,NA,Standard,No,16,Credit Card,Annually
3659,,Female,Gloves,24.37782683,Mississippi,M,Mauve,Winter,NA,Express,No,0,Credit Card,
2523,41,Female,Shorts,42.47601054,Massachusetts,S,Lemon yellow,Summer,NA,Standard,No,0,Credit Card,
3313,37,Male,Running Shoes,31.61126966,Louisiana,L,White,Spring,NA,Next Day Air,No,3,Credit Card,Monthly
2045,,Male,Running Shoes,29.20856507,Missouri,L,White,Fall,NA,Standard,No,17,Credit Card,Monthly
3348,34,Female,Gloves,26.55702925,Iowa,XL,White,Winter,NA,Standard,No,1,Credit Card,Annually
3074,30,Female,Jeans,25.15750488,Oregon,L,Mauve,Fall,NA,Standard,No,7,Credit Card,Bi-Weekly
3301,26,Male,T-shirt,30.86521738,Oklahoma,M,Periwinkle,Summer,NA,Standard,No,7,Credit Card,Quarterly
2248,42,Male,Handbag,25.87716457,Florida,L,Aubergine,Fall,5,Standard,No,0,Credit Card,
3182,23,Female,Sweater,23.57025605,,M,Terra cotta,Winter,NA,Standard,No,18,Credit Card,Monthly
1914,20,Female,Pajamas,27.79531058,Kentucky,M,Aubergine,Winter,NA,Standard,No,2,Credit Card,Quarterly
3158,31,Female,Hoodie,21.19328667,Maine,L,Brown,Winter,NA,Express,No,0,Credit Card,
2288,35,Male,Sunglasses,37.30968678,Nebraska,L,Baby blue,Summer,NA,Standard,No,5,Credit Card,Quarterly
2181,,Female,Dress,30.42305065,Connecticut,M,Turquoise,Summer,NA,Standard,No,0,Credit Card,
2074,23,Male,Handbag,20.98606074,Texas,S,Fuchsia,Spring,NA,Express,No,3,Credit Card,Annually
3534,28,Male,Handbag,33.23011884,Texas,L,White,Spring,NA,Standard,No,8,Credit Card,Quarterly
3415,21,Male,Hoodie,38.1693501,Connecticut,M,Black,Winter,5,Standard,No,6,Credit Card,Monthly
2112,29,Male,Handbag,37.50118133,Missouri,XL,Brown,Spring,NA,Express,No,0,Credit Card,
3222,19,Female,Shorts,29.00618579,New Hampshire,M,White,Summer,NA,Standard,No,13,Credit Card,Annually
3261,31,Male,Running Shoes,32.73312288,Wisconsin,M,Pale peach,Spring,NA,Standard,No,0,Credit Card,
3489,,Male,Sunglasses,25.47946868,,XL,Periwinkle,Summer,NA,Standard,No,11,Credit Card,Quarterly
3776,21,Male,T-shirt,24.27710436,South Dakota,S,Fuchsia,Summer,NA,Standard,No,1,Credit Card,Quarterly
2602,50,Female,Socks,23.4972787,Mississippi,L,Pale peach,Fall,NA,Standard,No,12,Credit Card,Quarterly
1702,32,Male,Handbag,30.91126739,Mississippi,XL,Baby blue,Spring,NA,Standard,No,6,Credit Card,Monthly
1908,32,Male,Sunglasses,24.53979787,New Mexico,L,Lavender,Summer,1,Standard,No,3,Credit Card,Quarterly
2274,,Female,T-shirt,25.91580783,New Mexico,L,Turquoise,Summer,4,Next Day Air,No,2,Credit Card,Annually
3645,,Male,Belt,27.9969915,Arkansas,M,Brown,Fall,5,Express,No,7,Credit Card,Quarterly
1850,34,Female,Scarf,29.70923028,New Mexico,M,Fuchsia,Winter,4,Standard,No,1,Credit Card,Monthly
2771,,Male,Running Shoes,33.29439532,Nebraska,S,Brick red,Fall,1,Standard,No,0,Credit Card,
2483,,Male,Dress,37.71562466,Arizona,S,Turquoise,Summer,NA,Next Day Air,No,0,Credit Card,
2395,20,Female,Sunglasses,22.59352242,Connecticut,L,Pale peach,Summer,NA,Standard,No,20,Credit Card,Monthly
3845,20,Male,Sunglasses,35.71074125,Montana,S,Baby blue,Summer,4,Standard,No,11,Credit Card,Quarterly
1871,27,Male,Sweater,34.28213845,,L,Brown,Winter,4,Express,No,4,Credit Card,Quarterly
2468,36,Female,Leggings,25.9154704,New Jersey,M,Ruby Red,Winter,NA,Standard,No,7,Credit Card,Monthly
3678,49,Non-binary,Gloves,36.53282513,,M,Black,Winter,NA,Standard,No,3,Credit Card,Annually
2162,31,Male,Dress,23.67731564,Washington,S,Pale peach,Spring,4,Standard,No,5,Credit Card,Bi-Weekly
2918,41,Male,Hoodie,26.06405745,Colorado,XL,Brick red,Winter,NA,Next Day Air,No,0,Credit Card,
3367,45,Female,Running Shoes,30.23522104,North Carolina,M,Brown,Summer,4,Standard,No,7,Credit Card,Quarterly
3104,29,Male,Jacket,27.30304597,Illinois,S,Muted mustard yellow,Winter,5,Standard,No,15,Credit Card,Monthly
2926,50,Male,Jacket,35.85428147,Illinois,M,Ruby Red,Fall,5,Standard,No,10,Credit Card,Annually
3262,32,Female,Running Shoes,33.07536733,Rhode Island,L,Baby blue,Spring,2,Next Day Air,No,6,Credit Card,Bi-Weekly
2286,23,Male,Scarf,39.22529663,,L,Brown,Winter,2,Standard,No,9,Credit Card,Quarterly
2552,47,Male,Sunglasses,27.90607824,Minnesota,M,Lavender,Spring,4,Standard,No,7,Credit Card,Bi-Weekly
3186,28,Female,Running Shoes,32.51461468,Ohio,L,White,Summer,4,Express,No,1,Credit Card,Quarterly
3281,34,Female,Scarf,34.58389057,New York,L,Mauve,Fall,NA,Standard,No,7,Credit Card,Quarterly
3759,27,Female,Sweater,33.33507577,Indiana,S,Terra cotta,Winter,NA,Next Day Air,No,14,Credit Card,Quarterly
2269,23,Male,Sunglasses,24.29472697,Georgia,L,Terra cotta,Fall,NA,Next Day Air,No,1,Credit Card,Quarterly
1680,,Male,T-shirt,37.3302926,Massachusetts,S,Pale peach,Spring,NA,Next Day Air,No,10,Credit Card,Quarterly
3766,31,Male,Hoodie,23.37945001,Missouri,M,Aubergine,Winter,NA,Standard,No,8,Credit Card,Quarterly
2080,31,Male,Jacket,16.02395126,Montana,L,Mauve,Winter,NA,Standard,No,10,Credit Card,Bi-Weekly
3600,30,Male,Sweater,24.64209041,Kansas,S,Pale peach,Winter,NA,Standard,No,7,Credit Card,Quarterly
3358,,Male,Sunglasses,27.98356379,,M,Burnt orange,Fall,NA,Next Day Air,No,2,Credit Card,Monthly
3714,20,Male,Sunglasses,34.46363524,,M,Mauve,Spring,NA,Standard,No,12,Credit Card,Quarterly
3510,45,Female,Jacket,32.10206968,Ohio,L,Ruby Red,Fall,NA,Standard,No,1,Credit Card,Quarterly
2750,21,Male,Scarf,21.54628057,,M,Ruby Red,Fall,2,Standard,No,20,Credit Card,Quarterly
3402,26,Male,Leggings,35.06034735,Nevada,L,Mauve,Winter,5,Standard,No,20,Credit Card,Annually
1743,24,Male,Shorts,27.49687897,,XL,Lemon yellow,Summer,4,Standard,No,20,Credit Card,Annually
2578,21,Male,Boots,38.41266155,Minnesota,L,Brown,Winter,NA,Standard,No,4,Credit Card,Quarterly
3599,32,Female,Shorts,31.3982728,Connecticut,XL,White,Spring,NA,Standard,No,0,Credit Card,
2403,37,Male,Sweater,32.99161363,Utah,M,Aubergine,Winter,NA,Standard,No,1,Credit Card,Quarterly
2855,37,Non-binary,Running Shoes,43.16484531,Delaware,M,Terra cotta,Summer,5,Standard,No,0,Credit Card,
2820,30,Female,Jacket,21.22057869,Georgia,L,Burnt orange,Fall,NA,Standard,No,0,Credit Card,
2472,22,Male,Leggings,38.86837019,Oklahoma,M,Burnt orange,Winter,NA,Standard,No,2,Credit Card,Monthly
3524,44,Male,Sunglasses,31.58094267,Nevada,M,Black,Fall,NA,Standard,No,0,Credit Card,
2657,,Male,Scarf,36.03497151,Indiana,L,Muted mustard yellow,Fall,NA,Standard,No,0,Credit Card,
3882,38,Male,Hoodie,31.80033005,,L,Burnt orange,Winter,NA,Standard,No,3,Credit Card,Monthly
2600,32,Female,Backpack,26.9703,Vermont,M,Burnt orange,Fall,NA,Standard,No,1,Credit Card,Quarterly
3058,51,Female,Boots,32.97980924,North Carolina,M,Black,Winter,4,Standard,No,12,Credit Card,Weekly
1920,29,Female,Running Shoes,32.13484147,Virginia,M,Baby blue,Summer,4,Express,No,14,Credit Card,Annually
2026,23,Male,Leggings,29.59266285,Delaware,M,Muted mustard yellow,Fall,NA,Standard,No,0,Credit Card,
3116,35,Male,Sunglasses,28.03745787,South Dakota,M,Pale peach,Spring,NA,Next Day Air,No,6,Credit Card,Bi-Weekly
2920,43,Female,Dress,20.36306508,Minnesota,L,Pale peach,Summer,5,Standard,No,0,Credit Card,
3696,39,Female,Running Shoes,34.72896844,Florida,M,Pale peach,Spring,NA,Standard,No,0,Credit Card,
3247,25,Male,Backpack,32.73738604,Michigan,M,Aubergine,Fall,5,Standard,No,13,Credit Card,Annually
3855,34,Male,Running Shoes,21.00152006,Florida,M,Baby blue,Spring,NA,Next Day Air,No,4,Credit Card,Monthly
2984,,Female,Sunglasses,26.94996152,West Virginia,M,Turquoise,Spring,NA,Standard,No,12,Credit Card,Quarterly
3160,47,Female,Leggings,28.32760172,Louisiana,L,Baby blue,Winter,NA,Next Day Air,No,2,Credit Card,Quarterly
2924,37,Female,Dress,31.36510199,Pennsylvania,M,Brown,Fall,NA,Standard,No,5,Credit Card,Monthly
1972,41,Female,Running Shoes,26.50889186,Pennsylvania,XL,Periwinkle,Summer,NA,Standard,No,5,Credit Card,Quarterly
1833,28,Male,Socks,19.7620078,Louisiana,M,Burnt orange,Fall,5,Standard,No,1,Credit Card,Quarterly
1873,53,Male,T-shirt,38.02052889,,M,Mauve,Fall,4,Standard,No,4,Credit Card,Monthly
2374,40,Female,Running Shoes,26.32156749,,M,Periwinkle,Summer,NA,Standard,No,3,Credit Card,Annually
2250,26,Female,Shorts,34.83994785,Wyoming,XL,White,Summer,NA,Standard,No,18,Credit Card,Quarterly
3287,45,Male,Sunglasses,16.87362854,Illinois,L,Turquoise,Spring,5,Standard,No,7,Credit Card,Quarterly
3427,27,Male,Leggings,37.27786136,Oregon,XL,Burnt orange,Fall,NA,Standard,No,2,Credit Card,Quarterly
2610,22,Male,Backpack,34.1750196,,M,Burnt orange,Winter,2,Standard,No,0,Credit Card,
2685,20,Male,Scarf,30.71379163,Washington,M,Brick red,Winter,5,Standard,No,1,Credit Card,Annually
2933,35,Male,Shorts,23.36211856,Alaska,L,Muted mustard yellow,Fall,NA,Standard,No,12,Credit Card,Quarterly
2971,21,Female,T-shirt,20.92717596,Kansas,M,Baby blue,Summer,NA,Standard,No,9,Credit Card,Monthly
3673,26,Female,Sweater,37.24857454,New York,S,Burnt orange,Winter,4,Standard,No,6,Credit Card,Monthly
2109,48,Female,Sunglasses,37.18786876,North Dakota,XL,Turquoise,Spring,NA,Standard,No,8,Credit Card,Quarterly
1902,20,Female,Running Shoes,30.82581031,Arizona,S,Periwinkle,Summer,NA,Standard,No,20,Credit Card,Bi-Weekly
1811,,Male,Sweater,28.15611588,Maryland,M,Black,Winter,NA,Next Day Air,No,10,Credit Card,Annually
3679,30,Female,Sunglasses,22.6040099,Texas,S,Fuchsia,Summer,4,Standard,No,1,Credit Card,Quarterly
